date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
00:26:56	4584/4584	---M-Z	200	added ('OK')	text/html	date:Thu,%2017%20Dec%202020%2018:56:57%20GMT	http://www.qub.ac.uk/cite2write/mhra2d.html	F:/My%20Web%20Sites/Reference/www.qub.ac.uk/cite2write/mhra2d.html	(from http://www.qub.ac.uk/cite2write/sitemap.html)
00:26:57	4608/4608	---M-Z	200	added ('OK')	text/html	date:Thu,%2017%20Dec%202020%2018:56:58%20GMT	http://www.qub.ac.uk/cite2write/mhra2e.html	F:/My%20Web%20Sites/Reference/www.qub.ac.uk/cite2write/mhra2e.html	(from http://www.qub.ac.uk/cite2write/sitemap.html)
00:26:57	4568/4568	---M-Z	200	added ('OK')	text/html	date:Thu,%2017%20Dec%202020%2018:56:58%20GMT	http://www.qub.ac.uk/cite2write/mhra2f.html	F:/My%20Web%20Sites/Reference/www.qub.ac.uk/cite2write/mhra2f.html	(from http://www.qub.ac.uk/cite2write/sitemap.html)
00:26:58	4585/4585	---M-Z	200	added ('OK')	text/html	date:Thu,%2017%20Dec%202020%2018:56:59%20GMT	http://www.qub.ac.uk/cite2write/mhra2g.html	F:/My%20Web%20Sites/Reference/www.qub.ac.uk/cite2write/mhra2g.html	(from http://www.qub.ac.uk/cite2write/sitemap.html)
00:27:02	4590/4590	---M-Z	200	added ('OK')	text/html	date:Thu,%2017%20Dec%202020%2018:57:03%20GMT	http://www.qub.ac.uk/cite2write/mhra2h.html	F:/My%20Web%20Sites/Reference/www.qub.ac.uk/cite2write/mhra2h.html	(from http://www.qub.ac.uk/cite2write/sitemap.html)
00:27:02	4565/4565	---M-Z	200	added ('OK')	text/html	date:Thu,%2017%20Dec%202020%2018:57:03%20GMT	http://www.qub.ac.uk/cite2write/mhra2i.html	F:/My%20Web%20Sites/Reference/www.qub.ac.uk/cite2write/mhra2i.html	(from http://www.qub.ac.uk/cite2write/sitemap.html)
00:27:03	4016/4016	---M-Z	200	added ('OK')	text/html	date:Thu,%2017%20Dec%202020%2018:57:04%20GMT	http://www.qub.ac.uk/cite2write/mhra3a.html	F:/My%20Web%20Sites/Reference/www.qub.ac.uk/cite2write/mhra3a.html	(from http://www.qub.ac.uk/cite2write/sitemap.html)
00:27:03	25143/25143	---M-Z	200	added ('OK')	text/html	date:Thu,%2017%20Dec%202020%2018:57:04%20GMT	http://www.qub.ac.uk/cite2write/mhra3b.html	F:/My%20Web%20Sites/Reference/www.qub.ac.uk/cite2write/mhra3b.html	(from http://www.qub.ac.uk/cite2write/sitemap.html)
00:27:04	3764/3764	---M-Z	200	added ('OK')	text/html	date:Thu,%2017%20Dec%202020%2018:57:05%20GMT	http://www.qub.ac.uk/cite2write/mhra4a.html	F:/My%20Web%20Sites/Reference/www.qub.ac.uk/cite2write/mhra4a.html	(from http://www.qub.ac.uk/cite2write/sitemap.html)
00:27:04	4677/4677	---M-Z	200	added ('OK')	text/html	date:Thu,%2017%20Dec%202020%2018:57:05%20GMT	http://www.qub.ac.uk/cite2write/oscola1b.html	F:/My%20Web%20Sites/Reference/www.qub.ac.uk/cite2write/oscola1b.html	(from http://www.qub.ac.uk/cite2write/sitemap.html)
00:27:05	4617/4617	---M-Z	200	added ('OK')	text/html	date:Thu,%2017%20Dec%202020%2018:57:06%20GMT	http://www.qub.ac.uk/cite2write/oscola1c.html	F:/My%20Web%20Sites/Reference/www.qub.ac.uk/cite2write/oscola1c.html	(from http://www.qub.ac.uk/cite2write/sitemap.html)
00:27:05	4668/4668	---M-Z	200	added ('OK')	text/html	date:Thu,%2017%20Dec%202020%2018:57:06%20GMT	http://www.qub.ac.uk/cite2write/oscola1d.html	F:/My%20Web%20Sites/Reference/www.qub.ac.uk/cite2write/oscola1d.html	(from http://www.qub.ac.uk/cite2write/sitemap.html)
00:27:06	4618/4618	---M-Z	200	added ('OK')	text/html	date:Thu,%2017%20Dec%202020%2018:57:07%20GMT	http://www.qub.ac.uk/cite2write/oscola1e.html	F:/My%20Web%20Sites/Reference/www.qub.ac.uk/cite2write/oscola1e.html	(from http://www.qub.ac.uk/cite2write/sitemap.html)
00:27:06	4641/4641	---M-Z	200	added ('OK')	text/html	date:Thu,%2017%20Dec%202020%2018:57:07%20GMT	http://www.qub.ac.uk/cite2write/oscola1f.html	F:/My%20Web%20Sites/Reference/www.qub.ac.uk/cite2write/oscola1f.html	(from http://www.qub.ac.uk/cite2write/sitemap.html)
00:27:07	4623/4623	---M-Z	200	added ('OK')	text/html	date:Thu,%2017%20Dec%202020%2018:57:08%20GMT	http://www.qub.ac.uk/cite2write/oscola1g.html	F:/My%20Web%20Sites/Reference/www.qub.ac.uk/cite2write/oscola1g.html	(from http://www.qub.ac.uk/cite2write/sitemap.html)
00:27:07	4624/4624	---M-Z	200	added ('OK')	text/html	date:Thu,%2017%20Dec%202020%2018:57:08%20GMT	http://www.qub.ac.uk/cite2write/oscola1h.html	F:/My%20Web%20Sites/Reference/www.qub.ac.uk/cite2write/oscola1h.html	(from http://www.qub.ac.uk/cite2write/sitemap.html)
00:27:08	4742/4742	---M-Z	200	added ('OK')	text/html	date:Thu,%2017%20Dec%202020%2018:57:09%20GMT	http://www.qub.ac.uk/cite2write/oscola2a.html	F:/My%20Web%20Sites/Reference/www.qub.ac.uk/cite2write/oscola2a.html	(from http://www.qub.ac.uk/cite2write/sitemap.html)
00:27:16	4756/4756	---M-Z	200	added ('OK')	text/html	date:Thu,%2017%20Dec%202020%2018:57:17%20GMT	http://www.qub.ac.uk/cite2write/oscola2b.html	F:/My%20Web%20Sites/Reference/www.qub.ac.uk/cite2write/oscola2b.html	(from http://www.qub.ac.uk/cite2write/sitemap.html)
00:27:16	4762/4762	---M-Z	200	added ('OK')	text/html	date:Thu,%2017%20Dec%202020%2018:57:17%20GMT	http://www.qub.ac.uk/cite2write/oscola2c.html	F:/My%20Web%20Sites/Reference/www.qub.ac.uk/cite2write/oscola2c.html	(from http://www.qub.ac.uk/cite2write/sitemap.html)
00:27:17	4742/4742	---M-Z	200	added ('OK')	text/html	date:Thu,%2017%20Dec%202020%2018:57:18%20GMT	http://www.qub.ac.uk/cite2write/oscola2d.html	F:/My%20Web%20Sites/Reference/www.qub.ac.uk/cite2write/oscola2d.html	(from http://www.qub.ac.uk/cite2write/sitemap.html)
